Unnamed: 0,word1,word2,word3,word4,ID,partyid,pos_neg,extreme,personality,policy,social_groups
247,older,bigoted,white,conservative,R_0H43UknsPpOSCnX,Democrat,Very negative,Yes,Yes,No,Yes
248,na,NONE,NONE,NONE,R_01VeQbLEk1yH9f7,Independent,Neither positive nor negative,No,No,No,No
249,people,person,human,living,R_8tXDmUeR4mZGiEZ,Independent,Neither positive nor negative,No,No,No,No
250,people,public,politicians,supporters,R_5hAKNnYlosyyV6d,Independent,Neither positive nor negative,No,No,No,No
251,think for themselves,have jobs,taxpayers,smart,R_9vGiDraG8ocdzLL,Republican,A little positive,No,Yes,No,No
252,traditional,conservative,political,republican,R_elzZ3N7SzReyN37,Independent,Neither,No,No,No,Yes
253,conservative,uptight,rigid,traditional,R_bfPCVRkVPchncOh,Democrat,A little negative,No,Yes,No,No
254,dtyjt,tdyjy,jytjk,tkuy,R_5gmCJOPuZpODfWB,Independent,Neither positive nor negative,No,No,No,No
255,assholes,greedy,conservative,selfish,R_bygxWB2MtLN8Kvb,Democrat,Very negative,Yes,Yes,No,No
256,gun owners,middle class,pro-life,caucasian,R_6LFLweKXRejt3Wl,Democrat,Neither,No,No,Yes,Yes
257,crazy,selfish,one sided,all for self,R_4HIEMmehqMBXejH,Democrat,Very negative,Yes,Yes,No,No
258,conservative,red,right,elephant,R_cAc64hlrxX6P8xL,Independent,Neither positive nor negative,No,No,No,No
259,business,education,NONE,NONE,R_9XleH6h6YgVVspL,Independent,Neither positive nor negative,No,No,No,No
260,loyal,conservative,budget minded,fiscal,R_5mu0inJzkUzsdqB,Independent,A little positive,No,No,Yes,No
261,stupid,obnoxious,conservative,lazy,R_4GcYtZdzRvC0uIl,Democrat,Very negative,Yes,Yes,No,No
262,white,angry,conservative,old,R_6zKAMTOU4UjjRJz,Democrat,Very negative,Yes,No,No,Yes
263,judgmental,rich,conservative,non compromising,R_eJRNunRNTZFbUUJ,Democrat,A little negative,Yes,Yes,Yes,No
264,right wing,christian,conservative,middle class,R_3qsKnRwLTdVMJ8x,Independent,Neither positive nor negative,No,No,No,Yes
265,conservative,religious,western,followers,R_bCWebrOAXnePc0t,Independent,Neither positive nor negative,No,No,No,Yes
266,strong,NONE,NONE,NONE,R_eA12zyXNg9CmEQJ,Independent,Neither positive nor negative,No,Yes,No,No
267,liars,stupid,dumb,losers,R_4Np1iSY9TY3Tqsd,Democrat,Very negative,Yes,Yes,No,No
268,white,rich,bigots,employed,R_8ByV117AITZCKNv,Democrat,Very negative,Yes,Yes,No,Yes
269,conservative,smart,wealthy,educated,R_9GOyudCq5NGbqHX,Independent,A little positive,No,No,No,No
270,conservatives,tea party members,believers in god,fair minded,R_1ZwdMlDaxClW2Lb,Independent,Neither positive nor negative,No,No,No,No
271,conservative,discriminatory,exclusive,NONE,R_d5LtjF2mEgLwIIJ,Democrat,Very negative,Yes,No,No,No
272,old,conservative,rich,white males,R_5ATbRbQueHlUoTj,Democrat,Very negative,Yes,No,No,Yes
273,business,fiscal,responsible,wealthier,R_em7GaP9Qh9Kq9JX,Independent,Neither positive nor negative,No,No,Yes,No
274,crazy,rich,conservative,white,R_8hV7PNohvUFzMkB,Democrat,Very negative,Yes,No,No,Yes
275,strong,TRUE,trust,reality,R_0001qlHgysxS08B,Republican,A little positive,No,Yes,No,No
276,conservative,old fashioned,powerful,religious,R_3EO246Qups9nDy5,Independent,Neither positive nor negative,No,No,No,No
277,conservative,religious,upper class,white,R_5BAqmeXBAFz0TFr,Democrat,A little negative,No,No,No,Yes
278,morons,idiots,pedos,whores,R_26lkiCAQhncb5HL,Democrat,Very negative,Yes,Yes,No,No
279,conservative,stupid,old,behind,R_1TBEAnISxCnIov3,Democrat,Very negative,Yes,Yes,No,No
280,white,old,religious,conservative,R_4T3dZhBAXuCmUVn,Democrat,A little negative,No,No,No,Yes
281,greedy,unhearted,hard headed,unfair,R_eEX9WRGPcBZZSo5,Democrat,Very negative,Yes,Yes,No,No
282,helpful,kind,friendly,intoit,R_3VqMMGvRd8VBfRX,Republican,Very positive,No,Yes,No,No
283,great,responding,responsibility,good,R_cZ2iWGCnIbFO6SF,Independent,A little positive,No,Yes,No,No
284,law abiding,strict,eager,older,R_egGqXS8su76SasR,Independent,Neither positive nor negative,No,Yes,No,No
285,honest,working,fair,charitable,R_292opYFTLFSGPyZ,Republican,Very positive,No,Yes,No,No
286,loud,rich,old,guns,R_3OARvSwx215331j,Democrat,A little negative,No,No,Yes,Yes
287,conservative,patriotic,pro-business,older,R_8B5ArZjGtWzEklv,Independent,Neither positive nor negative,No,No,Yes,No
288,selfish,ignorant,pushy,conservative,R_4Hi80zokVPTh9Dn,Democrat,Very negative,Yes,Yes,No,No
289,m,NONE,NONE,NONE,R_8jGYU7rlppYrpmR,Independent,Neither positive nor negative,No,No,No,No
290,conservative,white,educated,businesspeople,R_cO9CWeqw4JznPAp,Democrat,Neither positive nor negative,No,No,No,Yes
291,nasty,rich,elite,no government,R_01EWHWXv51UWOdT,Democrat,Very negative,Yes,Yes,Yes,Yes
292,ignorant,selfish,greedy,investors,R_aXcLeHAYuZ6GCZD,Democrat,Very negative,Yes,Yes,No,No
293,ignorant,firm,outdated,money wise,R_eyvoTaxrf4jogJv,Democrat,Very negative,No,Yes,No,No
294,strong,hardworking,independent,leaders,R_bNOWtnFdyALUVk9,Republican,Very positive,No,Yes,No,No
295,conservative,working,honest,open-minded,R_bdOvd9zFZaxYHFH,Republican,A little positive,No,Yes,No,No
296,conservative,foreign affairs minded,prudent,educated,R_6zmREAgPQsqjQeV,Independent,A little positive,No,No,Yes,No
297,conservative,educated,business,having faith,R_d6Hmfl5umXGZEwZ,Independent,A little positive,No,No,No,No
298,independent,may tend to be rural,traditional,conservative,R_0D0nt4MiPw7xjZX,Independent,Neither positive nor negative,No,No,No,Yes
299,conservative,upper class,closed minded,old money,R_1TZ6qUPG5RY0pI9,Democrat,A little negative,No,Yes,No,Yes
300,wild,workers,fanatics,aggressive,R_cZR4vwrjE6isMrH,Democrat,Very negative,Yes,Yes,No,No
301,outgoing,political,honest,strong willed,R_29KtbIk6c8uzbPD,Independent,A little positive,No,Yes,No,No
302,conservative,white collar workers,NONE,NONE,R_3Wq3mgpg8hNATnT,Independent,Neither positive nor negative,No,No,No,Yes
303,pro-life,conservative,religious,ideological,R_6gPWbO7MjRnJkoJ,Independent,Neither positive nor negative,No,No,Yes,No
304,concern,informed,right wing,involved,R_8umizGGWJmCbOcZ,Independent,Neither positive nor negative,No,No,No,No
305,conservative,rich,white,old,R_bvJqMEUrF2nHUNv,Democrat,Very negative,No,No,No,Yes
306,racist,rich,white,conservative,R_egrEUKa2YrJV2fz,Democrat,Very negative,Yes,Yes,No,Yes
307,conservative,NONE,NONE,NONE,R_5BmtsEsvRTDrIhL,Independent,Neither positive nor negative,No,No,No,No
308,strong,NONE,NONE,NONE,R_0B2RBSWhHZRVUih,Independent,Neither positive nor negative,No,Yes,No,No
309,closed minded,rigid,racist,conservative,R_bxehKzSWM0yGwO9,Democrat,Very negative,Yes,Yes,No,No
310,conservative,pro-life,contemporary,moral clarity,R_1TfuQsREj67rUgt,Republican,A little positive,No,No,Yes,No
311,conservative,businessmen,wealthy,rural,R_9QNR2jIkWrdm44J,Independent,Neither positive nor negative,No,No,No,Yes
312,business,NONE,NONE,NONE,R_3eLQfpnADkCbdVH,Independent,Neither positive nor negative,No,No,No,No
313,conservative,forthright,confident,fiscally conservative,R_bQ0HVMkeUEUjsxv,Independent,A little positive,No,Yes,Yes,No
314,honest,conservative,intelligent,hardworking,R_2hKRPaO69MdwAIJ,Republican,Very positive,No,Yes,No,No
315,conservatives,religious,white,NONE,R_8hNTRPHCPG54HcN,Independent,Neither positive nor negative,No,No,No,Yes
316,fydd,NONE,NONE,NONE,R_6Xak0pwrdTGiSYB,Independent,Neither positive nor negative,No,No,No,No
317,followers,up & coming,open,NONE,R_80bwrFqxwVZAuAR,Independent,Neither positive nor negative,No,No,No,No
318,conservative,white,religious,anti immigrant,R_bsGSAm6xfiZd1oV,Democrat,A little negative,Yes,No,Yes,Yes
319,rich,stubborn,american,followers,R_6sbTaNF5rp0zLjn,Democrat,Very negative,Yes,Yes,No,Yes
320,responsible,religious,successful,conservative,R_0lfLVxOjGyuADdP,Republican,A little positive,No,No,No,No
321,rich,corporations,closeminded,greedy,R_2tMPoy8O6A3LZbv,Democrat,Very negative,Yes,Yes,No,No
322,businessmen,wealthy,militants,conservatives,R_0IXObqrwZ2nLbq5,Democrat,A little negative,Yes,No,No,Yes
323,bitter,selfish,unaware,self absorbed,R_6tUAbDGzc7EoJyB,Democrat,Very negative,Yes,Yes,No,No
324,closed,ultra conservative,unthinking,.,R_bOscolwbW2rPqOp,Democrat,Very negative,Yes,Yes,No,No
325,reservation,NONE,NONE,NONE,R_bjFEoM9RFcwxSi9,Independent,Neither positive nor negative,No,No,No,No
326,clueless,hostile,uncooperative,egocentric,R_0O5iF1SuZknS4Zv,Democrat,Very negative,Yes,Yes,No,No
327,narrow minded,selfish,bigots,egoists,R_9uXJK2uYKjmLwNf,Democrat,Very negative,Yes,Yes,No,No
328,don't know,NONE,NONE,NONE,R_1SsVSkkUKduuidT,Independent,Neither positive nor negative,No,No,No,No
329,white,farmers,wealthy,male,R_0j6UJpMHBRx0bxr,Democrat,A little negative,No,No,No,Yes
330,conservative,anti minority,NONE,NONE,R_bxEx8TqmDEzFG8R,Democrat,Very negative,Yes,No,No,Yes
331,conservative,moderate,white,educated,R_e4XxrwHV4M79GcZ,Independent,Neither,No,No,No,Yes
332,narrow minded,prejudice,trash,uneducated,R_6rH980pOKpabc2x,Democrat,Very negative,Yes,Yes,No,No
333,smart,0.01,stingy,none,R_3yDao01l9YJmQ17,Democrat,A little negative,Yes,Yes,No,No
334,conservative,structured,traditional,older,R_cRXWPsbNv3Zq7XL,Independent,Neither,No,No,No,No
335,realistic,nonconformists,conservative,responsible,R_3xjdZTXdRihhF7n,Republican,A little positive,No,Yes,No,No
336,constitutionalists,right to lifers,pro-labor,NONE,R_6zNtnF44ZnM8OiN,Independent,Neither positive nor negative,No,No,Yes,No
337,conservative,well off,educated,religious,R_3E6Y2WRSGKcEF2l,Independent,Neither positive nor negative,No,No,No,Yes
338,rich,conservative,faith,down to earth,R_cUgqyZKpF3UM5x3,Independent,Neither positive nor negative,No,No,No,No
339,disorganized,anti people,trump,military,R_bOYts3BV1yLWVRr,Democrat,Very negative,Yes,Yes,Yes,Yes
340,moral,conservative,constitutional,family,R_cTIw82TiJRWuKyN,Republican,A little positive,No,No,Yes,Yes
341,NONE,NONE,NONE,NONE,R_cx3jF21Iinv2POd,Independent,Neither positive nor negative,No,No,No,No
342,bbb,nnn,mmm,NONE,R_2ou7QuGAaUCLxTT,Independent,Neither positive nor negative,No,No,No,No
343,white,conservative,NONE,NONE,R_2r8Z2w4tsrRUd2l,Democrat,A little negative,No,No,No,Yes
344,conservative,staunch,wealthy,self important,R_eeBrwA9w7807R0p,Democrat,A little negative,No,Yes,No,No
345,conservative,close-minded,crazy,racist,R_0iAf5tRpdwYEwnz,Democrat,Very negative,Yes,Yes,No,No
346,conservatism,anti immigration,pro-gun,anti abortion,R_3fRFG4YyY228tmd,Democrat,A little negative,No,No,Yes,No
347,white,men,rich,racist,R_9ucTZDSETvVDyrH,Democrat,Very negative,Yes,Yes,No,Yes
348,confident,campaign,lawful,good,R_24yhNImtSO1RYm9,Republican,A little positive,No,Yes,No,No
349,controlling,money,business,stubborn,R_1ZlmykupVW8wJrT,Democrat,A little negative,No,Yes,No,No
350,concerned,cautious,reliable,caring,R_01bAqUhtjvw9r3T,Republican,A little positive,No,Yes,No,No
351,conservative,american,right,freedom,R_cwmMBJ6nf1grNTn,Independent,Neither positive nor negative,No,No,Yes,No
352,i,don't,fallow,politics,R_0IJ4BdBsOqNlz5b,Independent,Neither positive nor negative,No,No,No,No
353,rigid,men,red states,seniors,R_3EisUZNMJVZcUJv,Democrat,A little negative,No,No,No,Yes
354,money,power,rich,integrity,R_5u9skCbFoCloADz,Independent,Neither positive nor negative,No,Yes,No,No
355,conservative,evangelical,wealthy,elite,R_0GLdPfUeBmUNh2Z,Democrat,A little negative,No,No,No,Yes
356,loud,untruthful,sneaky,pushy,R_bgfw8H0k3qSRwfr,Democrat,Very negative,Yes,Yes,No,No
357,conservative,patriotic,constitutionalists,traditional,R_7U2UiKMx23pbshf,Republican,A little positive,No,No,Yes,No
358,conservative,capitalists,independent,patriots,R_6o5Jtpw3TfUkiRn,Republican,A little positive,No,No,Yes,No
359,conservative,older,right,hawkish,R_eIENR9FEG5gWuVv,Democrat,Neither,No,No,Yes,No
360,na,NONE,NONE,NONE,R_0I2gzmjSpRRVjRH,Independent,Neither,No,No,No,No
361,die hards,over zealous,trump supporters,dissension,R_41OqcMdSIuLIamF,Democrat,Very negative,Yes,Yes,No,Yes
362,conservative,2nd amendment,sheep,religious,R_3JLwZbYfCWIS8ap,Democrat,A little negative,Yes,No,Yes,Yes
363,wealthy,gun toting,conservative,unyielding,R_cA33pSKsqldsSMJ,Democrat,A little negative,Yes,No,Yes,No
364,conservative,xenophobic,religious,closed minded,R_7O0iaic0dYodzBr,Democrat,Very negative,Yes,Yes,No,No
365,NONE,NONE,NONE,NONE,R_24YHWVV2dSEzzx3,Independent,Neither positive nor negative,No,No,No,No
366,aggressive,determine,NONE,NONE,R_0ktrVe928HziOLb,Independent,Neither,No,Yes,No,No
367,conservative,less government,wealthy,religious,R_6lBAIf92h7LMzFH,Independent,Neither positive nor negative,No,No,Yes,No
368,na,NONE,NONE,NONE,R_8cZaUOd2000V2Kh,Independent,Neither positive nor negative,No,No,No,No
369,honest,educated,wealthy,conservative,R_0eWVQRUnHKb7SHX,Independent,A little positive,No,Yes,No,No
370,rich,arrogant,heartless,unsympathetic,R_d0v3xACGs8u3kyx,Democrat,Very negative,Yes,Yes,No,No
371,conservative,NONE,NONE,NONE,R_3xbezge3uSNbA3P,Independent,Neither positive nor negative,No,No,No,No
372,working,ambitious,honest,patriotic,R_eWl1zuz8kKProz3,Republican,Very positive,No,Yes,No,No
373,white,conservative,business owners,usa usa,R_9vFDtlpxW3w7KOV,Democrat,Neither positive nor negative,No,No,No,Yes
374,religious,against gun reform,conservative,paranoid about too much government control,R_0qPEN78cegmoKnb,Democrat,Very negative,Yes,No,Yes,No
375,racist,elite,privileged,rich,R_cNfaQlnHjMRaKz3,Democrat,Very negative,Yes,No,No,Yes
376,idiots,rich,snobs,NONE,R_2cug19FxaYDVN6l,Democrat,Very negative,Yes,Yes,No,No
377,executives,conservative,loud,dumb,R_839L1Or9vyTxM9v,Democrat,Very negative,Yes,Yes,No,No
378,0.01,corporations,in your bedroom,anti people,R_ehrhzGDNPYWWmPP,Democrat,Very negative,Yes,No,Yes,No
379,conservative,white,old,traditional,R_6nXBqrNiUVBD11X,Democrat,A little negative,No,No,No,Yes
380,rightwing,rich,white,NONE,R_eh55HZRyGbjvsUt,Democrat,Very negative,Yes,No,No,Yes
381,racist,ignorant,pro-business,hate women,R_abG5Z0Iqz7IH4S9,Democrat,Very negative,Yes,Yes,Yes,Yes
382,lawful,conservative,gracious,frugal,R_3qIcqfMJJ5hGxcF,Independent,A little positive,No,Yes,No,No
383,conservative,traditional,controlling,inflexible,R_6zAq4Rs7a4Lml9P,Democrat,Very negative,Yes,No,No,No
384,elephants,pro-life,conservatives,guns,R_6Pdz9U8dmrFt7kV,Independent,Neither,No,No,Yes,No
385,gun toters,right winded,upper crusted,conservative,R_0uJ9QbUWzKatFgV,Democrat,A little negative,Yes,No,No,No
386,rights,guns,pro-life,religious,R_3aPK5aEyp2TuCqh,Independent,Neither positive nor negative,No,No,Yes,No
387,white,religious,rich,liars,R_5zoNU3f4MaESjzv,Democrat,Very negative,Yes,Yes,No,Yes
388,na,NONE,NONE,NONE,R_0DqDUqjwRwjzMyx,Independent,Neither positive nor negative,No,No,No,No
389,wise,systematic,realistic,accomplished,R_9tBvmjla2XlDR9X,Republican,Very positive,No,Yes,No,No
390,nasty,money hungry,ignorant,bullies,R_0xgT7nQ4eHNUSOh,Democrat,Very negative,Yes,Yes,No,No
391,white,wealthy,value connections,bigoted,R_cFULib8n3SepDSJ,Democrat,Very negative,Yes,Yes,No,Yes
392,rtfrgyuhij,NONE,NONE,NONE,R_6JSp7gBgYzvwE5f,Independent,Neither positive nor negative,No,No,No,No
393,oil,anti abortion,NONE,NONE,R_eaoQ8AC61GYZYYB,Democrat,A little negative,No,No,Yes,No
394,wealthy,privileged,happy,relaxed,R_6J4yQpEAV6CjMmp,Democrat,A little positive,No,No,No,Yes
395,stupid,ignorant,selfish,horrible,R_0jkOX9ANo8ZUQ4t,Democrat,Very negative,Yes,Yes,No,No
396,uneducated,religious,white,angry,R_7WiaOjhzziBqYVT,Democrat,Very negative,Yes,No,No,Yes
397,conservative,right,christian,rural,R_3LcSi9Zpm0XFjMx,Independent,Neither positive nor negative,No,No,No,Yes
398,NONE,NONE,NONE,NONE,R_6m5hb2FeX6Y7MBT,Independent,Neither positive nor negative,No,No,No,No
399,conservative,trailer park,right winger,dumb,R_6KxMSPt01wSEJ5H,Democrat,Very negative,Yes,Yes,No,Yes
400,conservative,bible,NONE,NONE,R_9oELYPWHchXHbY9,Independent,Neither positive nor negative,No,No,No,No
401,conservative,businessperson,racist,right wings,R_bQHXimeGWVzu37n,Democrat,Very negative,Yes,No,Yes,Yes
402,conservative,traditional,NONE,NONE,R_6WgAIhGpiJii5H7,Independent,Neither positive nor negative,No,No,No,No
403,this,is,stu,pid,R_cTID5Cevn00xjsF,Democrat,Very negative,Yes,No,No,No
404,conservative,money,NONE,NONE,R_a4eDkqHRLvvUydT,Independent,Neither,No,No,No,No
405,catholic,conservative,wealthy,bigot,R_8BA7rctBCweoRHn,Democrat,Very negative,Yes,Yes,No,Yes
406,wealthy,conservative,older,stodgy,R_8H3DMVLRvZVemP3,Democrat,A little negative,No,No,No,Yes
407,werdty,NONE,NONE,NONE,R_79e9KfgajQpaLpH,Independent,Neither positive nor negative,No,No,No,No
408,reagan,freedom,strong,family,R_1XNm7m18QvVC9jT,Republican,A little positive,No,No,No,No
409,guns,NONE,NONE,NONE,R_8Igth0MI3OP6irz,Democrat,Very negative,Yes,No,Yes,No
410,freedom,rights,guns,pro-life,R_0qutU1gZr7dMKt7,Republican,Neither positive nor negative,No,No,Yes,No
411,independent,patriotic,individual,misunderstood,R_eqXqsT2yNr3xTY9,Independent,A little positive,No,Yes,No,No
412,stubborn,closed minded,stupid,wealthy,R_8ICtIvQTxLcE7B3,Democrat,Very negative,Yes,Yes,No,No
413,cool,nice,strong,savvy,R_3jF6k1sY4dKv40t,Republican,Very positive,No,Yes,No,No
414,evangelicals,white,rural,military,R_enWawGtWvTOMvXL,Democrat,Neither positive nor negative,No,No,No,Yes
415,conservative,christian,scientifically challenged,prudish,R_3VhOYpF52JFd4EJ,Democrat,A little negative,Yes,No,No,Yes
416,conservative,straight,NONE,NONE,R_cx8iabblhzzUfGZ,Independent,Neither,No,No,No,No
417,bigots,racists,whites,religious,R_6A6m0XrzEUwWSJ7,Democrat,Very negative,Yes,Yes,No,Yes
418,religious,traditional,conservative,NONE,R_6lfKhDdKlC6RZhH,Independent,Neither positive nor negative,No,No,No,No
419,less,government,religious,conservative,R_bQ9ZYYSENvzdVL7,Independent,Neither positive nor negative,No,No,Yes,No
420,middle class,conservative,informed,educated,R_5cNHId6RJV2i8K1,Republican,A little positive,No,No,No,Yes
421,white,old,racists,too religious,R_dal2DDRov8sLpxb,Democrat,Very negative,Yes,Yes,No,Yes
422,rich,open,help,fair,R_6eOlk2IyQRQEiAl,Independent,A little positive,No,No,No,No
423,old,white,guns,money,R_3EmzKxnKXDiSs2V,Democrat,Very negative,Yes,No,No,Yes
424,stuffy,older,staunch,conservative,R_5A7RSrWuTYdqQPb,Democrat,A little negative,No,Yes,No,No
425,strict,can be christian,uphold standards,tend to have more,R_6X4KjcH2Lqbsx2B,Independent,Neither positive nor negative,No,No,No,Yes
426,legacy,old,corrupt,divided,R_4MyHODIz8AaIfNr,Democrat,Very negative,Yes,Yes,No,No
427,brainwashed,stubborn,fox news supporters,traditionalists,R_1S8aLCA4KIvUM6h,Democrat,Very negative,Yes,Yes,No,Yes
428,smart,caring,good,NONE,R_b9E7wuhevB2ND8N,Independent,A little positive,No,Yes,No,No
429,white,conservative,rich,minority,R_1Ri87yVKV8cBztb,Democrat,A little negative,No,No,No,Yes
430,old,white,stuck,NONE,R_0Gmie8cavrhAyzz,Democrat,Very negative,Yes,No,No,Yes
431,NONE,NONE,NONE,NONE,R_0csRzhFpvjOioDP,Independent,Neither positive nor negative,No,No,No,No
432,conservative,pro-life,racist,wealthy,R_5oHIkrnLROPgCQl,Democrat,Very negative,Yes,No,Yes,Yes
433,middle,workers,older,people,R_e98DxnXKZktDtI1,Independent,Neither positive nor negative,No,No,No,Yes
434,expensive,rich,negative,unwilling,R_3mxdmAEoy7M3W05,Democrat,Very negative,Yes,No,No,No
435,conservative,white,uptight,military,R_ezf3A4PAtQE6d4V,Democrat,A little negative,Yes,Yes,No,Yes
436,a,NONE,NONE,NONE,R_42Z3LnFoyU69oah,Independent,Neither positive nor negative,No,No,No,No
437,conserve,religious,outspoken,rational,R_b163IoV4j55iDNr,Independent,Neither positive nor negative,No,Yes,No,No
438,traditional,conservative,white,male,R_42EysJatdzPAPGd,Democrat,A little negative,No,No,No,Yes
439,liars,thief,lies,fibs,R_dmt3oNlbfNQ2V9j,Democrat,Very negative,Yes,Yes,No,No
440,concerning,well off,NONE,NONE,R_ePXPcpANfMmeCnr,Democrat,A little negative,No,No,No,No
441,ideological,misinformed,driven,dedicated,R_40HC8K02e8a00hT,Democrat,A little negative,No,Yes,No,No
442,conservative,NONE,NONE,NONE,R_8H23rdP5o18x7Hn,Independent,Neither positive nor negative,No,No,No,No
443,closed minded,antiquated,bigoted,white,R_07z39SqPeUaAlrn,Democrat,Very negative,Yes,Yes,No,Yes
444,conservative,confused,un united,pro-american,R_6J7UDP9gyVv66y1,Democrat,A little negative,No,No,No,Yes
445,solid,conventional,patriotic,conservative,R_3Q7as232yIkId9P,Independent,A little positive,No,No,No,No
446,entrenched,privilege,protective,exclusionist,R_5mW2ZoeARkHqW3P,Democrat,Very negative,Yes,No,No,No
447,conservative,strong,less government,rights,R_bjbul7zsEJzEyvr,Republican,A little positive,No,No,Yes,No
448,NONE,NONE,NONE,NONE,R_b7VZ00uBuy53VaJ,Independent,Neither positive nor negative,No,No,No,No
449,upscale,down to earth,happy,wealthy,R_8dc67xlZYlIYWUZ,Independent,A little positive,No,Yes,No,No
450,conservative,well informed,christian,love,R_5uTdMVXFXK9hrPD,Republican,A little positive,No,No,No,Yes
451,conservative,right,bigoted,nationalistic,R_9mnBPQedZ0Fkx9j,Democrat,Very negative,Yes,Yes,No,No
452,conservative,pro-life,rural,independent,R_41qnMoNDuBjy13T,Independent,Neither,No,No,Yes,No
453,pro-life,constitutional,conservative,informed,R_ezVFeIC6YOoF5yJ,Republican,A little positive,No,No,Yes,No
454,conservative,rich,knowledgeable,fair,R_3h3CAd3a5sH8BI9,Republican,A little positive,No,Yes,No,No
455,employed,honest,independent,patriotic,R_3fT8sC2hjI1tGAJ,Republican,Very positive,No,Yes,No,No
456,redneck,uneducated,white,rural,R_0DmdS5wmjmqy9w1,Democrat,Very negative,Yes,No,No,Yes
457,hardworking,conservative,NONE,NONE,R_ePraLaUH7mfwPdj,Independent,A little positive,No,Yes,No,No
458,conservative,wealthy,selfish,ignorant,R_85GHUEDkGmqD7tH,Democrat,Very negative,Yes,Yes,No,No
459,fiscal,conservative,old fashioned,white,R_etis4xk5A4asvSB,Democrat,A little negative,No,No,Yes,Yes
460,make america great again,will make changes,twitter,will brings jobs back to america,R_a9ntpqHGDXx5EPP,Republican,A little positive,No,No,Yes,No
461,open-minded,blue collar,local,majority,R_08MyDzSO4f5tk6F,Independent,A little positive,No,No,No,Yes
462,conservative,business friendly,lower taxes,protectionist,R_8p0ldj5rXgAaAfj,Independent,Neither positive nor negative,No,No,Yes,No
463,conservative,white collar,big business,NONE,R_6M4toVUB88WrYlD,Independent,Neither positive nor negative,No,No,No,Yes
464,NONE,NONE,NONE,NONE,R_cSmTCVDcZmE0VPT,Independent,Neither positive nor negative,No,No,No,No
465,money,liberal,change,elephant,R_b1kE1kFb9fqgR6J,Independent,Neither positive nor negative,No,No,No,No
466,guns,bigoted,ignorant,dumb,R_6FNb2LvEraCf4kB,Democrat,Very negative,Yes,Yes,Yes,No
467,NONE,NONE,NONE,NONE,R_08LO6PDm42FYLlP,Independent,Neither positive nor negative,No,No,No,No
468,new,rich,different,ok,R_034i8Kcri68bfEx,Independent,Neither positive nor negative,No,No,No,No
469,conservative,red,racist,bigot,R_bQV9z1uC8PQSBrD,Democrat,Very negative,Yes,Yes,No,No
470,n,n,n,nn,R_b8jjObapUNg44Wp,Democrat,Very negative,Yes,Yes,No,No
471,conservative,racist,rich,NONE,R_6Gyeormvpe0ZXa5,Democrat,Very negative,Yes,Yes,No,Yes
472,ignorant,uneducated,closed minded,bigoted,R_4My8IWv90svXXyR,Democrat,Very negative,Yes,Yes,No,No
473,conservative,workers,reliable,trustworthy,R_5sSuIXLydNhpxY1,Republican,A little positive,No,Yes,No,No
474,conservative,bigots,crazy,racist,R_6hBeyX9jrfB5Eq1,Democrat,Very negative,Yes,Yes,No,Yes
475,conservative,responsible,determined,nonconforming,R_6X3wjc2Jjx38Ljf,Independent,A little positive,No,Yes,No,No
476,conservative,frugal,traditional,individualistic,R_afWJ1slAe7aUKKp,Independent,Neither positive nor negative,No,Yes,No,No
477,nasty,stupid,ignorant,untrustworthy,R_38ePQ8C8ooOdwdn,Democrat,Very negative,Yes,Yes,No,No
478,caucasian,middle class,some education,unempathetic,R_8kzMoy7psaT01Mx,Democrat,A little negative,No,Yes,No,Yes
479,crazy,nuts,psychotic,brain washed,R_79amx0wBzH3tWi9,Democrat,Very negative,Yes,Yes,No,No
480,trump,whites,NONE,NONE,R_0j6TYjhyStBDncV,Democrat,Very negative,Yes,No,No,Yes
481,business,strict,confident,proud,R_8iEv97GOqz5uPWt,Independent,A little positive,No,Yes,No,No
482,conservative,rich,self absorbed,close-minded,R_20nnUfnsJf1F15j,Democrat,Very negative,Yes,Yes,No,No
483,people,with,similar,beliefs,R_6RIfTlSKlHlYZpz,Independent,Neither positive nor negative,No,No,No,No
484,conservative,right wing,tea party,white,R_bKQw3F7jXLzflNH,Democrat,A little negative,No,No,No,Yes
485,rich,educated,mormons,old,R_1XJi7idw1f9aTJj,Democrat,A little negative,No,No,No,Yes
486,NONE,NONE,NONE,NONE,R_1FixTsdmaMCUUXH,Independent,Neither positive nor negative,No,No,No,No
487,ftg,NONE,NONE,NONE,R_bKqwFtS9CblpoZD,Independent,Neither positive nor negative,No,No,No,No
488,none,NONE,NONE,NONE,R_03wR7dn64AxyQh7,Independent,Neither positive nor negative,No,No,No,No
489,conservative,NONE,NONE,NONE,R_9B8rPAlu5IyoL6B,Independent,Neither,No,No,No,No
490,rich,white,racial,no,R_e4dXo16GpzhE0nP,Democrat,Very negative,Yes,No,No,Yes
491,wealthy,ego,narrow minded,closed minded,R_1ZVQ5HVvZWZfVbf,Democrat,Very negative,Yes,Yes,No,No
492,conservative,religious,rural,white,R_0rE3TzzPaDGJSpT,Democrat,Neither positive nor negative,No,No,No,Yes
493,conservative,traditionalist,white,working class,R_0qZ31OT18s1GTZj,Independent,Neither positive nor negative,No,No,No,Yes
494,conservative,old,closed,white,R_6KApeugmIicqoGV,Democrat,A little negative,No,No,No,Yes
495,none,na,na,na,R_3qqOLo8zLVPUdI9,Independent,Neither positive nor negative,No,No,No,No
