caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_8nMeXVIBaTYPGTP,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Democrat. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Social Progressive Left,No,Liberal,Social,Progressive,Left,Independent,Neither positive nor negative,No,No,No,No
R_9nL6Y1JKKmc5uf3,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a weak Democrat. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socialist Activist,No,Liberal,Progressive,Socialist,Activist,Republican,A little negative,Yes,No,Yes,No
R_3jvXcMJVB0khaZf,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are male. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive. Socially. Fiscally. Cautious.,No,Progressive,Socially,Fiscally,NONE,Republican,Very negative,Yes,No,Yes,No
R_3NMpowBAzVEubBz,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a strong Democrat. You are male. Financially, you are poor. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, activist, liberal, idealist",No,Progressive,Activist,Liberal,Idealist,Independent,A little positive,No,No,No,No
R_38EptKoXH8YDLRr,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you lean towards Rebublicans. You are male. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socialist Left,No,Liberal,Progressive,Socialist,Left,Republican,A little negative,No,No,Yes,No
R_1MJvDjCEbZZqpJb,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are an independent. You are female. Financially, you are poor. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Socially Active,No,Liberal,Socially,Active,NONE,Independent,Neither,No,No,No,No
R_6ybTwH1Ztlm5LKZ,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Liberal, Educated, Idealistic",No,Progressive,Liberal,Educated,Idealistic,Democrat,A little positive,No,No,No,No
R_5iiLIXCeqy7m4CN,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, tolerant, open-minded, liberal",No,Progressive,tolerant,open-minded,liberal,Democrat,A little positive,No,Yes,No,No
R_9p2EnPIvO9gSZdH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are female. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, idealistic, compassionate",No,Progressive,Idealistic,Compassionate,NONE,Independent,A little positive,No,Yes,No,No
R_cSlCMpPXyl9dniR,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you lean towards Rebublicans. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socialists,No,Liberal,Progressive,Socialists,NONE,Republican,A little negative,Yes,No,Yes,No
R_aaWajAxzJLDWuPz,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a strong Democrat. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressives Socialists Activist,No,Liberal,Progressives,Socialists,Activist,Republican,A little negative,Yes,No,Yes,No
R_6h4Fg2g5TtC3kdn,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are male. Financially, you are poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Socially Progressive,No,Liberal,Socially,Progressive,NONE,Independent,Neither,No,No,Yes,No
R_6kVywf3cgz14rqJ,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. You are male. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Social,No,Liberal,Progressive,Social,NONE,Independent,Neither,No,No,No,No
R_6sACQsGtqhlS1ox,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive Socially Aware,No,Progressive,Socially,Aware,NONE,Independent,A little positive,No,No,No,No
R_5ikS6GUTOWkFqKN,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, liberal, urban, socialist",No,Progressive,liberal,urban,socialist,Republican,A little negative,No,No,Yes,No
R_1ZX6CtGVMPlMQzX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Socially Aware",No,Progressive,Socially,Aware,NONE,Independent,A little positive,No,No,No,No
R_2iaXk7RGN0ZU9Jr,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. You are female. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal. Progressive. Open-minded. Idealistic.,No,Liberal,Progressive,Open-minded,Idealistic,Independent,A little positive,No,Yes,No,No
R_0NRqjg0JSOsQyJD,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Progressive, Activist, Open",No,Liberal,Progressive,Activist,Open,Independent,A little positive,No,No,No,No
R_8Ju6XtDHQGbM149,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a weak Democrat. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive Socially Liberal,No,Progressive,Socially,Liberal,NONE,Independent,neither positive nor negative,no,no,no,no
R_bwj3htiwBXfnKzH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a strong Democrat. You are male. Financially, you are upper-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive liberal democratic moderates,No,Progressive,liberal,democratic,moderates,Independent,Neither positive nor negative,No,No,No,No
R_7OqEkzBFzjizNjL,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Rebublicans. You are male. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive Socially Left-liberal,No,Progressive,Socially,Left-liberal,NONE,Independent,Neither,No,No,No,No
R_dopOGpCtvMv6Sj3,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a strong Democrat. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socially Conscious,No,Liberal,Progressive,Socially,Conscious,Independent,A little positive,No,No,No,No
R_9zxwHaEaRvcP1c1,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a strong Democrat. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, tolerant, compassionate, liberal",No,Progressive,tolerant,compassionate,liberal,Democrat,A little positive,No,Yes,No,No
R_5AtU6w0u8wWTm97,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, activist, empathetic, socialist",No,Progressive,activist,empathetic,socialist,Republican,A little negative,Yes,Yes,Yes,No
R_cMWjRiwXVQMqcfP,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Progressive, Activist, Leftist",No,Liberal,Progressive,Activist,Leftist,Republican,Neither positive nor negative,No,No,No,No
R_6oiyJNdlwT9GrWt,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a strong Republican. Racially, you are Hispanic. You are male. Financially, you are poor. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Liberal, Socialist, Activist",No,Progressive,Liberal,Socialist,Activist,Republican,A little negative,Yes,No,Yes,No
R_agacxYjDMQ9pjCJ,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Progressive,No,Liberal,Progressive,Progressive,NONE,Independent,Neither positive nor negative,No,No,No,No
R_b1t3wSXOvdxVDmt,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Socially Active,No,Liberal,Socially,Active,NONE,Independent,Neither positive nor negative,No,No,No,No
R_5auhfcmnsAaDHut,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you lean towards Democrats. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Socially Conscious,No,Liberal,Socially,Conscious,NONE,Independent,Neither positive nor negative,No,No,No,No
R_9KAFdRrAKOQ5zaB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely liberal. Politically, you are a strong Democrat. Racially, you are Hispanic. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Liberal, Social",No,Progressive,Liberal,Social,NONE,Independent,Neither positive nor negative,No,No,No,No
R_9sPR07aabJ8OMjb,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are male. Financially, you are upper-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Feminist Socialist,No,Liberal,Progressive,Feminist,Socialist,Republican,Neither positive nor negative,No,No,Yes,Yes
R_1HT1qXumxlJPGJf,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressives Leftists Socialist,No,Liberal,Progressives,Leftists,Socialist,Republican,Very negative,Yes,No,Yes,No
R_eKdRurgE3Jfh0EZ,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Socially Progress,No,Liberal,Socially,Progress,NONE,Independent,Neither positive nor negative,No,No,Yes,No
R_4SJCCUrJJvViU2V,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a strong Democrat. You are female. Financially, you are poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Liberal, Socialist, Activist",No,Progressive,Liberal,Socialist,Activist,Republican,A little negative,Yes,No,Yes,No
R_1G3nQFIp2hvN4JT,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socialist Leftist,No,Liberal,Progressive,Socialist,Leftist,Republican,A little negative,Yes,No,Yes,No
R_6AnvNvGj3lWPEpv,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Republican. You are male. Financially, you are poor. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal progressive socialist activist,No,Liberal,progressive,socialist,activist,Republican,Neither positive nor negative,No,No,Yes,No
R_8ljIlBFRVz9UZCt,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are male. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Committed,No,Liberal,Progressive,Committed,NONE,Independent,A little positive,No,Yes,No,No
R_e3xmwyBXkb4GXit,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you lean towards Rebublicans. You are male. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, tolerant, progressive, socialist",No,Liberal,tolerant,progressive,socialist,Republican,A little negative,Yes,No,Yes,No
R_86uGLfqROYDdyyF,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely liberal. Politically, you lean towards Democrats. You are female. Financially, you are poor. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, activist, socialist, liberal",No,Progressive,Activist,Socialist,Liberal,Republican,A little negative,No,No,Yes,No
R_552fZE63Bw0POXX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are male. Financially, you are upper-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal tolerant progressive idealistic,No,Liberal,tolerant,progressive,idealistic,Democrat,A little positive,No,No,No,No
R_6tcDMFYl30NXvqR,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Left Progressive Progressive,No,Liberal,Left,Progressive,Progressive,Independent,Neither positive nor negative,No,No,No,No
R_b14st1W7BOkKszX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. You are female. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socially,No,Liberal,Progressive,Socially,NONE,Independent,Neither positive nor negative,No,No,No,No
R_erOqqaeIr3TdHi5,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are male. Financially, you are very poor. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socialist Activist,No,Liberal,Progressive,Socialist,Activist,Republican,A little negative,No,No,Yes,No
R_0BCgFTell8CMLFH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are male. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Compassionate, Socially",No,Progressive,Compassionate,Socially,NONE,Independent,A little positive,No,Yes,No,No
R_cHeLcOhUKg1u4It,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are male. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressives Democratic,No,Liberal,Progressives,Democratic,NONE,Independent,Neither positive nor negative,No,No,No,No
R_b3XZlG2eTanZnJH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a strong Democrat. Racially, you are Hispanic. You are male. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal progressive inclusive-minded activists,No,Liberal,progressive,inclusive-minded,activists,Independent,A little positive,No,No,Yes,No
R_0H43UknsPpOSCnX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely liberal. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, inclusive, open-minded, tolerant",No,Progressive,inclusive,open-minded,tolerant,Democrat,A little positive,No,Yes,No,No
R_01VeQbLEk1yH9f7,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are male. Financially, you are poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Taxed,No,Liberal,Progressive,Taxed,NONE,Republican,Neither positive nor negative,No,No,Yes,No
R_8tXDmUeR4mZGiEZ,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. You are male. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressives Always,No,Liberal,Progressives,Always,NONE,Republican,Neither positive nor negative,No,No,No,No
R_5hAKNnYlosyyV6d,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a weak Democrat. You are male. Financially, you are poor. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, idealistic, tolerant",No,Progressive,Idealistic,Tolerant,NONE,Independent,A little positive,No,No,No,No
R_9vGiDraG8ocdzLL,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Progressive, Socialist, Anarchist",No,Liberal,Progressive,Socialist,Anarchist,Republican,Very negative,Yes,No,Yes,No
R_elzZ3N7SzReyN37,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you lean towards Democrats. You are female. Financially, you are poor. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, liberal, activist, enthusiastic",No,Progressive,liberal,activist,enthusiastic,Independent,A little positive,No,No,No,No
R_bfPCVRkVPchncOh,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. Racially, you are Hispanic. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive Liberal Open,No,Progressive,Liberal,Open,NONE,Independent,A little positive,No,No,No,No
R_5gmCJOPuZpODfWB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Social Justice Oriented,No,Liberal,Social,Justice,Oriented,Independent,A little positive,No,No,Yes,No
R_bygxWB2MtLN8Kvb,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely liberal. Politically, you are a strong Democrat. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive Socially Active,No,Progressive,Socially,Active,NONE,Independent,Neither positive nor negative,No,No,No,No
R_6LFLweKXRejt3Wl,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are male. Financially, you are very poor. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Activist Socialist,No,Liberal,Progressive,Activist,Socialist,Republican,A little negative,Yes,No,Yes,No
R_4HIEMmehqMBXejH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a strong Democrat. You are female. Financially, you are very poor. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Activist Socialistic,No,Liberal,Progressive,Activist,Socialistic,Republican,A little negative,Yes,No,Yes,No
R_cAc64hlrxX6P8xL,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you lean towards Democrats. You are female. Financially, you are very poor. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal left thinking,No,Liberal,left,thinking,NONE,Independent,Neither positive nor negative,No,No,No,No
R_9XleH6h6YgVVspL,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you lean towards Rebublicans. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Social Justice,No,Liberal,Social,Justice,NONE,Republican,Neither positive nor negative,No,No,Yes,No
R_5mu0inJzkUzsdqB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal progressive outspoken activist,No,Liberal,progressive,outspoken,activist,Independent,A little positive,No,No,No,No
R_4GcYtZdzRvC0uIl,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a strong Democrat. You are female. Financially, you are poor. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive. Liberal. Hopeful. Open-minded.,No,Progressive,Liberal,Hopeful,Open-minded,Democrat,A little positive,No,No,No,No
R_6zKAMTOU4UjjRJz,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a strong Democrat. You are male. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive socially liberal.,No,Progressive,socially,liberal,NONE,Independent,Neither positive nor negative,No,No,Yes,No
R_eJRNunRNTZFbUUJ,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive Socially Conscious Feminist,No,Progressive,Socially,Conscious,NONE,Independent,A little positive,No,No,No,No
R_3qsKnRwLTdVMJ8x,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a weak Republican. You are female. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socialist Left,No,Liberal,Progressive,Socialist,Left,Republican,A little negative,Yes,No,Yes,No
R_bCWebrOAXnePc0t,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are female. Financially, you are poor. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socialist Left,No,Liberal,Progressive,Socialist,Left,Republican,A little negative,No,No,Yes,No
R_eA12zyXNg9CmEQJ,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a weak Republican. You are male. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Democratic, Progressive, Socialist",No,Liberal,Democratic,Progressive,Socialist,Republican,A little negative,Yes,No,Yes,No
R_4Np1iSY9TY3Tqsd,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Democrat. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Social Justice,No,Liberal,Social,Justice,NONE,Independent,Neither positive nor negative,No,No,Yes,Yes
R_8ByV117AITZCKNv,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are male. Financially, you are poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socialist Left,No,Liberal,Progressive,Socialist,Left,Republican,A little negative,Yes,No,Yes,No
R_9GOyudCq5NGbqHX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are female. Financially, you are upper-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Pro-Choice Progressives,No,Liberal,Pro-Choice,Progressives,NONE,Republican,Neither positive nor negative,No,No,Yes,No
R_1ZwdMlDaxClW2Lb,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal tolerant progressive left-wing,No,Liberal,tolerant,progressive,left-wing,Independent,A little positive,No,No,No,No
