Unnamed: 0,word1,word2,word3,word4,ID,partyid,pos_neg,extreme,personality,policy,social_groups
251,entitlement,union,black,liberal,R_9vGiDraG8ocdzLL,Republican,A little negative,No,No,Yes,Yes
252,open-minded,political,democratic,knowledgeable,R_elzZ3N7SzReyN37,Independent,A little positive,No,No,No,No
253,liberal,free,open-minded,new,R_bfPCVRkVPchncOh,Independent,A little positive,No,Yes,No,No
254,ghjf,dtyjdt,tyjd,td,R_5gmCJOPuZpODfWB,Independent,Neither positive nor negative,No,No,No,No
255,liberal,generous,thinking,educated,R_bygxWB2MtLN8Kvb,Democrat,A little positive,No,Yes,No,No
256,educated,poor,women,liberal,R_6LFLweKXRejt3Wl,Republican,Neither positive nor negative,No,No,No,Yes
257,loving,caring,all around,for the people,R_4HIEMmehqMBXejH,Democrat,Very positive,No,Yes,No,No
258,liberal,blue,donkey,left,R_cAc64hlrxX6P8xL,Independent,Neither positive nor negative,No,No,No,No
259,people,NONE,NONE,NONE,R_9XleH6h6YgVVspL,Independent,Neither positive nor negative,No,No,No,No
260,liberal,big government,government entitlements,money doesn't matter,R_5mu0inJzkUzsdqB,Republican,Very negative,Yes,No,Yes,No
261,wholesome,good,liberal,smart,R_4GcYtZdzRvC0uIl,Democrat,Very positive,No,Yes,No,No
262,middleclass,multiethnic,liberal,americans,R_6zKAMTOU4UjjRJz,Independent,Neither,No,No,No,Yes
263,empathic,middle class,logical,civic,R_eJRNunRNTZFbUUJ,Independent,A little positive,No,Yes,No,No
264,liberal,free thinking,laissez faire,whatever,R_3qsKnRwLTdVMJ8x,Independent,Neither positive nor negative,No,Yes,No,No
265,liberal,left wing,stuffy,eastern,R_bCWebrOAXnePc0t,Republican,A little negative,No,Yes,No,No
266,idiots,NONE,NONE,NONE,R_eA12zyXNg9CmEQJ,Republican,Very negative,Yes,Yes,No,Yes
267,honest,smart,winners,honorable,R_4Np1iSY9TY3Tqsd,Democrat,Very positive,No,Yes,No,No
268,liberal,poor,union,black,R_8ByV117AITZCKNv,Republican,A little negative,No,No,No,Yes
269,liberal,elitist,welfare,taxes,R_9GOyudCq5NGbqHX,Republican,Very negative,Yes,No,Yes,No
270,liberals,movie stars,disabled individuals,doctors,R_1ZwdMlDaxClW2Lb,Independent,Neither positive nor negative,No,No,No,Yes
271,inclusive,open,liberal,empathetic,R_d5LtjF2mEgLwIIJ,Democrat,A little positive,No,Yes,No,No
272,liberals,young,minorities,underprivileged,R_5ATbRbQueHlUoTj,Independent,Neither positive nor negative,No,No,No,Yes
273,entitlements,taxes,free spending,giveaway,R_em7GaP9Qh9Kq9JX,Republican,Very negative,No,No,Yes,No
274,loud,free,normal,diverse,R_8hV7PNohvUFzMkB,Independent,Neither positive nor negative,No,No,No,No
275,same,ambivalence,weaknesses,lies,R_0001qlHgysxS08B,Republican,Very negative,Yes,No,No,No
276,liberal,socialist,innovative,powerful,R_3EO246Qups9nDy5,Independent,A little positive,No,No,Yes,No
277,liberal,lower class,minorities,dependent,R_5BAqmeXBAFz0TFr,Republican,A little negative,No,No,No,Yes
278,morons,idiots,niggers,bitches,R_26lkiCAQhncb5HL,Republican,Very negative,Yes,Yes,No,Yes
279,silly,liberal,foolish,modern,R_1TBEAnISxCnIov3,Republican,Very negative,Yes,Yes,No,No
280,young,arrogant,entitlement,mixed,R_4T3dZhBAXuCmUVn,Republican,Very negative,Yes,Yes,No,Yes
281,wealthy,understanding,change,good people,R_eEX9WRGPcBZZSo5,Democrat,A little positive,No,Yes,No,No
282,greedy,unrealistic,caring,uninformed,R_3VqMMGvRd8VBfRX,Republican,Very negative,No,Yes,No,No
283,stupid,nonetheless,nonsense,bad,R_cZ2iWGCnIbFO6SF,Republican,Very negative,Yes,No,No,No
284,lax,NONE,NONE,NONE,R_egGqXS8su76SasR,Republican,A little negative,No,No,Yes,No
285,enabler,lazy,dependent,misguided,R_292opYFTLFSGPyZ,Republican,Very negative,Yes,Yes,No,No
286,female,ethnic,educated,working,R_3OARvSwx215331j,Independent,Neither positive nor negative,No,No,No,Yes
287,liberal,young,close-minded,opinioned,R_8B5ArZjGtWzEklv,Republican,Very negative,Yes,Yes,No,No
288,lively,caring,underpaid,considerate,R_4Hi80zokVPTh9Dn,Democrat,A little positive,No,Yes,No,No
289,ok,NONE,NONE,NONE,R_8jGYU7rlppYrpmR,Independent,Neither positive nor negative,No,No,No,No
290,unions,liberal,blue collar,anti business,R_cO9CWeqw4JznPAp,Republican,A little negative,No,No,Yes,Yes
291,social,people,caring,big government,R_01EWHWXv51UWOdT,Independent,A little positive,No,Yes,Yes,No
292,well intentioned,moderate,hopeful,reasonable,R_aXcLeHAYuZ6GCZD,Independent,A little positive,No,Yes,No,No
293,smart,caring,logical,sympathetic,R_eyvoTaxrf4jogJv,Democrat,Very positive,No,Yes,No,No
294,liberal,free,open,unproductive,R_bNOWtnFdyALUVk9,Republican,A little negative,No,Yes,No,No
295,liberal,communist,lazy,dishonest,R_bdOvd9zFZaxYHFH,Republican,Very negative,Yes,Yes,Yes,No
296,liberal,unrealistic,spendthrifts,do gooders,R_6zmREAgPQsqjQeV,Republican,Very negative,No,Yes,Yes,No
297,liberals,unions,low income,minorities,R_d6Hmfl5umXGZEwZ,Republican,Neither positive nor negative,No,No,No,Yes
298,progressive,pro-choice,liberal,urban,R_0D0nt4MiPw7xjZX,Independent,Neither positive nor negative,No,No,Yes,No
299,liberal,working class,honest,hardworking,R_1TZ6qUPG5RY0pI9,Democrat,Very positive,No,Yes,No,Yes
300,good,liberty,NONE,NONE,R_cZR4vwrjE6isMrH,Independent,A little positive,No,No,No,No
301,opinionated,strong willed,outgoing,mouthy,R_29KtbIk6c8uzbPD,Republican,A little negative,No,Yes,No,No
302,unions,liberal,NONE,NONE,R_3Wq3mgpg8hNATnT,Republican,Neither positive nor negative,No,No,Yes,Yes
303,liberal,educated,low income,pro-choice,R_6gPWbO7MjRnJkoJ,Independent,Neither positive nor negative,No,No,Yes,No
304,liberal,left wing,uninformed,greedy,R_8umizGGWJmCbOcZ,Republican,Very negative,Yes,Yes,No,No
305,liberal,young,non white,poor,R_bvJqMEUrF2nHUNv,Republican,A little negative,No,No,No,Yes
306,inclusive,caring,naive,hopeful,R_egrEUKa2YrJV2fz,Independent,A little positive,No,Yes,No,No
307,NONE,NONE,NONE,NONE,R_5BmtsEsvRTDrIhL,Independent,Neither positive nor negative,No,No,No,No
308,don't know,NONE,NONE,NONE,R_0B2RBSWhHZRVUih,Independent,Neither positive nor negative,No,No,No,No
309,open-minded,caring,educated,liberal,R_bxehKzSWM0yGwO9,Independent,A little positive,No,Yes,No,No
310,liberal,contemporary,pro-choice,progressive,R_1TfuQsREj67rUgt,Independent,Neither positive nor negative,No,No,Yes,No
311,liberal,urban,union,jewish,R_9QNR2jIkWrdm44J,Republican,Neither positive nor negative,No,No,No,Yes
312,not fair,NONE,NONE,NONE,R_3eLQfpnADkCbdVH,Republican,Very negative,Yes,No,No,No
313,liberal,fiscally unconservative,duplicitous,liars,R_bQ0HVMkeUEUjsxv,Republican,Very negative,Yes,Yes,Yes,No
314,liberal,tree huggers,dishonest,liars,R_2hKRPaO69MdwAIJ,Republican,Very negative,Yes,Yes,No,No
315,liberal,minorities,young,NONE,R_8hNTRPHCPG54HcN,Republican,Neither positive nor negative,No,No,No,Yes
316,fggggg,NONE,NONE,NONE,R_6Xak0pwrdTGiSYB,Independent,Neither positive nor negative,No,No,No,No
317,followers,uninformed,hard headed,NONE,R_80bwrFqxwVZAuAR,Republican,Very negative,Yes,Yes,No,No
318,pro-immigrant,liberal,secular,egalitarian,R_bsGSAm6xfiZd1oV,Independent,Neither positive nor negative,No,No,Yes,Yes
319,workers,concerned,american,fair,R_6sbTaNF5rp0zLjn,Democrat,A little positive,No,No,No,No
320,liberal,on welfare,want free stuff,lazy,R_0lfLVxOjGyuADdP,Republican,Very negative,Yes,Yes,No,No
321,poor,students,open-minded,generous,R_2tMPoy8O6A3LZbv,Democrat,A little positive,No,Yes,No,No
322,liberals,women,workers,academics,R_0IXObqrwZ2nLbq5,Independent,Neither positive nor negative,No,No,No,Yes
323,smart,fair,caring,unselfish,R_6tUAbDGzc7EoJyB,Democrat,Very positive,No,Yes,No,No
324,educated,fair,open,thinking,R_bOscolwbW2rPqOp,Independent,A little positive,No,Yes,No,No
325,wild,uncontrolled,outlaw,NONE,R_bjFEoM9RFcwxSi9,Republican,Very negative,Yes,Yes,No,No
326,secretive,power conscious,wealthy,active,R_0O5iF1SuZknS4Zv,Republican,A little negative,No,Yes,No,No
327,carrying,sharing,open-minded,peaceful,R_9uXJK2uYKjmLwNf,Democrat,A little positive,No,Yes,No,No
328,don't know,NONE,NONE,NONE,R_1SsVSkkUKduuidT,Independent,Neither positive nor negative,No,No,No,No
329,liberal,NONE,NONE,NONE,R_0j6UJpMHBRx0bxr,Independent,Neither positive nor negative,No,No,No,No
330,rich,more liberal,NONE,NONE,R_bxEx8TqmDEzFG8R,Republican,A little negative,No,No,No,No
331,liberal,mixed race,loud,pushy,R_e4XxrwHV4M79GcZ,Republican,Very negative,Yes,Yes,No,Yes
332,intelligent,open-minded,concerned,aware,R_6rH980pOKpabc2x,Democrat,A little positive,No,Yes,No,No
333,smart,observant,moderate,none,R_3yDao01l9YJmQ17,Independent,A little positive,No,Yes,No,No
334,younger,idealistic,liberal,experimental,R_cRXWPsbNv3Zq7XL,Independent,A little positive,No,No,No,No
335,dreamers,liberal,unrealistic,lazy,R_3xjdZTXdRihhF7n,Republican,Very negative,Yes,Yes,No,No
336,big business,blacks,hispanics,right to lifers,R_6zNtnF44ZnM8OiN,Republican,A little negative,No,No,No,Yes
337,blue color,working class,less educated,labor union,R_3E6Y2WRSGKcEF2l,Independent,Neither positive nor negative,No,No,No,Yes
338,uneducated,liberal,leeches,elderly,R_cUgqyZKpF3UM5x3,Republican,Very negative,Yes,Yes,No,Yes
339,liars,hillary,obama,biden,R_bOYts3BV1yLWVRr,Republican,Very negative,Yes,Yes,No,No
340,liberal,immoral,mean,progressive,R_cTIw82TiJRWuKyN,Republican,Very negative,Yes,Yes,Yes,No
341,NONE,NONE,NONE,NONE,R_cx3jF21Iinv2POd,Independent,Neither positive nor negative,No,No,No,No
342,nnn,ooo,uuu,NONE,R_2ou7QuGAaUCLxTT,Independent,Neither positive nor negative,No,No,No,No
343,liberal,NONE,NONE,NONE,R_2r8Z2w4tsrRUd2l,Independent,Neither positive nor negative,No,No,No,No
344,liberal,southern,open,free,R_eeBrwA9w7807R0p,Independent,Neither positive nor negative,No,No,No,No
345,liberal,intelligent,fair,honest,R_0iAf5tRpdwYEwnz,Democrat,A little positive,No,Yes,No,No
346,liberal,prochoice,pro-trade,NONE,R_3fRFG4YyY228tmd,Independent,Neither positive nor negative,No,No,Yes,No
347,women,average,liberal,caring,R_9ucTZDSETvVDyrH,Independent,A little positive,No,Yes,No,Yes
348,firm,confident,lawful,mighty,R_24yhNImtSO1RYm9,Independent,A little positive,No,Yes,No,No
349,union,low income,lazy,not understanding,R_1ZlmykupVW8wJrT,Republican,Very negative,Yes,Yes,No,Yes
350,honest,reliable,concerned,caring,R_01bAqUhtjvw9r3T,Democrat,Very positive,No,Yes,No,No
351,liberal,progressive,socialist,wrong,R_cwmMBJ6nf1grNTn,Republican,Very negative,Yes,No,Yes,No
352,i,don't,know,anything,R_0IJ4BdBsOqNlz5b,Republican,A little negative,No,No,No,No
353,liberal,minority,blue states,seniors,R_3EisUZNMJVZcUJv,Independent,Neither,No,No,No,Yes
354,sleazy,liar,deceitful,dishonest,R_5u9skCbFoCloADz,Republican,Very negative,Yes,Yes,No,No
355,liberal,openness,union,middleclass,R_0GLdPfUeBmUNh2Z,Independent,A little positive,No,No,Yes,Yes
356,loud,untruthful,sneaky,pushy,R_bgfw8H0k3qSRwfr,Republican,Very negative,Yes,Yes,No,No
357,marxists,leftists,god haters,distrustful,R_7U2UiKMx23pbshf,Republican,Very negative,Yes,Yes,No,Yes
358,freeloaders,ignorant,socialists,black,R_6o5Jtpw3TfUkiRn,Republican,Very negative,Yes,Yes,Yes,Yes
359,liberal,sheltered,trust fund,welfare,R_eIENR9FEG5gWuVv,Republican,Very negative,Yes,No,Yes,No
360,na,NONE,NONE,NONE,R_0I2gzmjSpRRVjRH,Independent,Neither positive nor negative,No,No,No,No
361,desperate,disillusioned,necessity,resigned,R_41OqcMdSIuLIamF,Republican,Very negative,No,Yes,No,No
362,liberal,non racist,animals,environment,R_3JLwZbYfCWIS8ap,Independent,Neither positive nor negative,No,No,Yes,No
363,progressive,liberal,minorities,jewish,R_cA33pSKsqldsSMJ,Republican,Neither positive nor negative,No,No,No,Yes
364,liberal,progressive,social,open-minded,R_7O0iaic0dYodzBr,Independent,A little positive,No,No,No,No
365,smart,logical,peaceful,helpful,R_24YHWVV2dSEzzx3,Democrat,Very positive,No,Yes,No,No
366,ineffective,wealthy,NONE,NONE,R_0ktrVe928HziOLb,Republican,A little negative,No,No,No,No
367,poor,minority,liberal,government,R_6lBAIf92h7LMzFH,Republican,A little negative,No,No,Yes,Yes
368,NONE,NONE,NONE,NONE,R_8cZaUOd2000V2Kh,Independent,Neither positive nor negative,No,No,No,No
369,dishonest,liberal,minority,lazy,R_0eWVQRUnHKb7SHX,Republican,Very negative,Yes,Yes,No,Yes
370,poor,helpless,liberal,hungry,R_d0v3xACGs8u3kyx,Republican,Very negative,Yes,No,No,No
371,liberal,NONE,NONE,NONE,R_3xbezge3uSNbA3P,Independent,Neither positive nor negative,No,No,No,No
372,entitled,unambitious,utopian,delusional,R_eWl1zuz8kKProz3,Republican,Very negative,Yes,Yes,No,No
373,liberal,smart,educated,thinkers,R_9vFDtlpxW3w7KOV,Democrat,A little positive,No,No,No,No
374,liberal,support social programs,open-minded to gun reform,peace minded vs war hawks,R_0qPEN78cegmoKnb,Independent,A little positive,No,Yes,Yes,No
375,liberal,fiscally irresponsible,minority,female,R_cNfaQlnHjMRaKz3,Republican,A little negative,No,No,Yes,Yes
376,middle class,unions,NONE,NONE,R_2cug19FxaYDVN6l,Independent,Neither positive nor negative,No,No,Yes,Yes
377,liberal,understanding,generous,loving,R_839L1Or9vyTxM9v,Democrat,Very positive,No,Yes,No,No
378,for people,against corporations,NONE,NONE,R_ehrhzGDNPYWWmPP,Independent,A little positive,No,No,Yes,No
379,liberal,self centered,liars,thieves,R_6nXBqrNiUVBD11X,Republican,Very negative,Yes,Yes,No,No
380,liberal,middleclass,poor,ethnic,R_eh55HZRyGbjvsUt,Independent,Neither positive nor negative,No,No,No,Yes
381,environmental,equality,pro-choice,reasonable,R_abG5Z0Iqz7IH4S9,Democrat,A little positive,No,No,Yes,No
382,liberal,angry,rigid,elite,R_3qIcqfMJJ5hGxcF,Republican,Very negative,Yes,Yes,No,No
383,open-minded,supportive,tolerant,socially responsible,R_6zAq4Rs7a4Lml9P,Democrat,A little positive,No,Yes,No,No
384,liberals,hispanics,african americans,pro-choice,R_6Pdz9U8dmrFt7kV,Republican,Neither positive nor negative,No,No,Yes,Yes
385,liberal,left winged,well/highly educated,partisan compromising,R_0uJ9QbUWzKatFgV,Independent,Neither positive nor negative,No,No,No,No
386,easy,religious,women,pro-choice,R_3aPK5aEyp2TuCqh,Independent,Neither positive nor negative,No,No,Yes,Yes
387,poor,liberal,mediocre,stubborn,R_5zoNU3f4MaESjzv,Republican,Very negative,Yes,Yes,No,No
388,na,NONE,NONE,NONE,R_0DqDUqjwRwjzMyx,Independent,Neither positive nor negative,No,No,No,No
389,utopian,pollyannaish,ruthless,misguided,R_9tBvmjla2XlDR9X,Republican,Very negative,Yes,Yes,No,No
390,smart,witty,aware,caring,R_0xgT7nQ4eHNUSOh,Democrat,Very positive,No,Yes,No,No
391,well meaning,middle class,value education,believe in equality,R_cFULib8n3SepDSJ,Independent,A little positive,No,No,No,Yes
392,rdtyguio,NONE,NONE,NONE,R_6JSp7gBgYzvwE5f,Independent,Neither positive nor negative,No,No,No,No
393,liberal,prochoice,NONE,NONE,R_eaoQ8AC61GYZYYB,Independent,Neither positive nor negative,No,No,Yes,No
394,worker,mid low class,family,hands on,R_6J4yQpEAV6CjMmp,Independent,Neither positive nor negative,No,No,No,Yes
395,fair,just,kind,good,R_0jkOX9ANo8ZUQ4t,Democrat,Very positive,No,Yes,No,No
396,educated,diverse,weak,science,R_7WiaOjhzziBqYVT,Republican,A little negative,No,No,No,Yes
397,liberal,left,progressive,urban,R_3LcSi9Zpm0XFjMx,Independent,Neither positive nor negative,No,No,No,No
398,NONE,NONE,NONE,NONE,R_6m5hb2FeX6Y7MBT,Independent,Neither,No,No,No,No
399,liberal,tree hugger,freeloader,lazy,R_6KxMSPt01wSEJ5H,Republican,Very negative,Yes,Yes,No,No
400,liberal,NONE,NONE,NONE,R_9oELYPWHchXHbY9,Independent,Neither positive nor negative,No,No,No,No
401,liberal,naive,romantic,lazy,R_bQHXimeGWVzu37n,Republican,Very negative,Yes,Yes,No,No
402,liberal,NONE,NONE,NONE,R_6WgAIhGpiJii5H7,Independent,Neither positive nor negative,No,No,No,No
403,this,is,stu,pid,R_cTID5Cevn00xjsF,Republican,Very negative,Yes,No,No,No
404,liberal,minorities,NONE,NONE,R_a4eDkqHRLvvUydT,Republican,Neither positive nor negative,No,No,No,Yes
405,liberal,minority,poor,regular,R_8BA7rctBCweoRHn,Republican,A little negative,No,No,No,Yes
406,liberal,poorer,minorities,left wing,R_8H3DMVLRvZVemP3,Republican,Neither positive nor negative,No,No,No,Yes
407,awesrdtfy,NONE,NONE,NONE,R_79e9KfgajQpaLpH,Independent,Neither positive nor negative,No,No,No,No
408,minorities,liberals,pro-abortion,intolerant,R_1XNm7m18QvVC9jT,Republican,Very negative,Yes,Yes,Yes,Yes
409,liberal,NONE,NONE,NONE,R_8Igth0MI3OP6irz,Independent,Neither positive nor negative,No,No,No,No
410,free,taxes,liberal,liar,R_0qutU1gZr7dMKt7,Republican,Very negative,Yes,Yes,Yes,No
411,bed wetters,moochers,collectivists,stupid,R_eqXqsT2yNr3xTY9,Republican,Very negative,Yes,Yes,No,No
412,liberal,hopeful,trying,young,R_8ICtIvQTxLcE7B3,Independent,A little positive,No,No,No,No
413,cool,strong,savvy,nice,R_3jF6k1sY4dKv40t,Democrat,Very positive,No,Yes,No,No
414,lgbtq,minority's,liberals,immigrants,R_enWawGtWvTOMvXL,Republican,Neither positive nor negative,No,No,No,Yes
415,liberal,blue state,free spending,progressive,R_3VhOYpF52JFd4EJ,Republican,A little negative,No,No,Yes,No
416,liberal,moderate,NONE,NONE,R_cx8iabblhzzUfGZ,Independent,Neither positive nor negative,No,No,No,No
417,secular,not caucasian,equality minded,liberal,R_6A6m0XrzEUwWSJ7,Independent,A little positive,No,No,Yes,Yes
418,liberal,poor,communist,NONE,R_6lfKhDdKlC6RZhH,Republican,Very negative,Yes,No,Yes,No
419,bleeding,heart,liberals,misinformed,R_bQ9ZYYSENvzdVL7,Republican,Very negative,Yes,Yes,No,No
420,liberal,un informed,welfare,stupid,R_5cNHId6RJV2i8K1,Republican,Very negative,Yes,Yes,Yes,Yes
421,smart,benevolent,big government,accepting,R_dal2DDRov8sLpxb,Democrat,A little positive,No,Yes,Yes,No
422,work,tired,poor,people,R_6eOlk2IyQRQEiAl,Republican,A little negative,No,No,No,Yes
423,young,liberal,education,equal rights,R_3EmzKxnKXDiSs2V,Independent,A little positive,No,No,Yes,No
424,independent,younger,rebel,fiery,R_5A7RSrWuTYdqQPb,Independent,A little positive,No,Yes,No,No
425,artistic,typically not rich,service oriented,environmental,R_6X4KjcH2Lqbsx2B,Independent,A little positive,No,Yes,Yes,No
426,fair,forward,equal,smart,R_4MyHODIz8AaIfNr,Democrat,A little positive,No,No,No,No
427,change supporters,modern,up to date,responsible,R_1S8aLCA4KIvUM6h,Independent,A little positive,No,No,No,No
428,liberal,dumb,self righteous,NONE,R_b9E7wuhevB2ND8N,Republican,Very negative,Yes,Yes,No,No
429,liberal,representative,passionate,non white,R_1Ri87yVKV8cBztb,Independent,A little positive,No,No,No,Yes
430,liberal,younger,NONE,NONE,R_0Gmie8cavrhAyzz,Independent,Neither positive nor negative,No,No,No,No
431,NONE,NONE,NONE,NONE,R_0csRzhFpvjOioDP,Independent,Neither positive nor negative,No,No,No,No
432,liberal,pro-life,environmentalists,service,R_5oHIkrnLROPgCQl,Independent,Neither positive nor negative,No,No,Yes,No
433,young,mix,nonthinkers,up,R_e98DxnXKZktDtI1,Republican,Very negative,Yes,Yes,No,Yes
434,care,support,compromise,friendly,R_3mxdmAEoy7M3W05,Independent,A little positive,No,Yes,No,No
435,liberal,minorities,socialists,givers,R_ezf3A4PAtQE6d4V,Republican,A little negative,Yes,No,Yes,Yes
436,b,NONE,NONE,NONE,R_42Z3LnFoyU69oah,Independent,Neither positive nor negative,No,No,No,No
437,irrational,weird,poor,suck,R_b163IoV4j55iDNr,Republican,Very negative,Yes,Yes,No,No
438,color,variety,liberal,new,R_42EysJatdzPAPGd,Independent,Neither positive nor negative,No,No,No,No
439,equal,fair,happy,honest,R_dmt3oNlbfNQ2V9j,Democrat,Very positive,No,Yes,No,No
440,concerning,well off,above the law,NONE,R_ePXPcpANfMmeCnr,Republican,Very negative,Yes,No,No,No
441,informed,caring,humane,compassionate,R_40HC8K02e8a00hT,Democrat,Very positive,No,Yes,No,No
442,liberal,poor,NONE,NONE,R_8H23rdP5o18x7Hn,Republican,A little negative,No,No,No,No
443,liberal,educated,young,hippie,R_07z39SqPeUaAlrn,Independent,Neither positive nor negative,No,No,No,Yes
444,liberal,moneygrubbing,spendthrifts,controlling,R_6J7UDP9gyVv66y1,Republican,Very negative,Yes,No,Yes,No
445,liberal,social,ego driven,proud,R_3Q7as232yIkId9P,Republican,A little negative,No,Yes,No,No
446,inclusive,diverse,tolerant,charitable,R_5mW2ZoeARkHqW3P,Democrat,A little positive,No,No,No,No
447,spending,social aware,liberal,liberal,R_bjbul7zsEJzEyvr,Republican,Neither positive nor negative,No,No,Yes,No
448,NONE,NONE,NONE,NONE,R_b7VZ00uBuy53VaJ,Independent,Neither positive nor negative,No,No,No,No
449,dumb,lazy,weak,liars,R_8dc67xlZYlIYWUZ,Republican,Very negative,Yes,Yes,No,No
450,costly,careless,partiers,rowdy,R_5uTdMVXFXK9hrPD,Republican,Very negative,Yes,Yes,No,No
451,liberal,left,socialist,hippy,R_9mnBPQedZ0Fkx9j,Republican,A little negative,Yes,No,Yes,Yes
452,liberal,urban,progressive,social oriented,R_41qnMoNDuBjy13T,Independent,Neither,No,No,No,No
453,liberal,pro-choice,non constitutional,self serving,R_ezVFeIC6YOoF5yJ,Republican,Very negative,Yes,Yes,Yes,No
454,union,poor,welfare,socialists,R_3h3CAd3a5sH8BI9,Republican,Very negative,Yes,No,Yes,Yes
455,unrealistic,arrogant,slick,patronizing,R_3fT8sC2hjI1tGAJ,Republican,Very negative,Yes,Yes,No,No
456,liberals,educated,progressive,urban,R_0DmdS5wmjmqy9w1,Independent,Neither,No,No,No,Yes
457,lazy,enabled,NONE,NONE,R_ePraLaUH7mfwPdj,Republican,Very negative,Yes,Yes,No,No
458,liberal,middle class,generous,educated,R_85GHUEDkGmqD7tH,Independent,A little positive,No,No,No,No
459,socialist,hollywood,taxes,media,R_etis4xk5A4asvSB,Republican,Very negative,Yes,No,Yes,Yes
460,crooked,liar,unfit,can be bought,R_a9ntpqHGDXx5EPP,Republican,Very negative,Yes,Yes,No,No
461,unions,state,celebrities,richer,R_08MyDzSO4f5tk6F,Republican,Neither positive nor negative,No,No,Yes,No
462,liberal,NONE,NONE,NONE,R_8p0ldj5rXgAaAfj,Republican,Neither positive nor negative,No,No,No,No
463,liberal,union,minority,blue collar,R_6M4toVUB88WrYlD,Independent,Neither,No,No,No,Yes
464,NONE,NONE,NONE,NONE,R_cSmTCVDcZmE0VPT,Independent,Neither positive nor negative,No,No,No,No
465,conservative,donkeys right,prescribed,left,R_b1kE1kFb9fqgR6J,Republican,A little negative,Yes,No,No,Yes
466,open,free,equal,peace,R_6FNb2LvEraCf4kB,Democrat,A little positive,No,No,No,No
467,NONE,NONE,NONE,NONE,R_08LO6PDm42FYLlP,Independent,Neither,No,No,No,No
468,old,northern,poor,alright,R_034i8Kcri68bfEx,Republican,Neither positive nor negative,No,No,No,Yes
469,liberal,blue,progressive,open,R_bQV9z1uC8PQSBrD,Independent,A little positive,No,No,Yes,No
470,n,n,n,n,R_b8jjObapUNg44Wp,Independent,Neither positive nor negative,No,No,No,No
471,poor,liberal,middle class,progressive,R_6Gyeormvpe0ZXa5,Independent,Neither positive nor negative,No,No,Yes,Yes
472,open-minded,liberal,progressive,inclusive,R_4My8IWv90svXXyR,Democrat,Very positive,No,No,No,No
473,entitled,freeloaders,shifty,arrogant,R_5sSuIXLydNhpxY1,Republican,Very negative,Yes,Yes,No,No
474,soft,liberal,corrupt,women,R_6hBeyX9jrfB5Eq1,Republican,Very negative,Yes,Yes,No,Yes
475,liar,socialism,dictatorship,terrorism,R_6X3wjc2Jjx38Ljf,Republican,Very negative,Yes,Yes,Yes,No
476,idealistic,in denial,liberal,illogical,R_afWJ1slAe7aUKKp,Republican,Very negative,Yes,Yes,No,No
477,untruthful,NONE,NONE,NONE,R_38ePQ8C8ooOdwdn,Republican,Very negative,No,Yes,No,No
478,minority,giving,some education,sympathetic,R_8kzMoy7psaT01Mx,Independent,Neither positive nor negative,No,No,Yes,Yes
479,loafers,union,minorities,women,R_79amx0wBzH3tWi9,Republican,Neither positive nor negative,No,No,No,Yes
480,liberal,conservative,obama,NONE,R_0j6TYjhyStBDncV,Independent,Neither positive nor negative,No,No,No,No
481,liberal,laid back,passionate,unique,R_8iEv97GOqz5uPWt,Independent,A little positive,No,Yes,No,No
482,liberal,free thinking,educated,middle class,R_20nnUfnsJf1F15j,Independent,A little positive,No,No,No,Yes
483,want,to say,bad,things,R_6RIfTlSKlHlYZpz,Republican,Very negative,Yes,No,No,No
484,liberal,leftwing,fair,nonracist,R_bKQw3F7jXLzflNH,Democrat,A little positive,No,No,Yes,No
485,educated,workers,union,liberal,R_1XJi7idw1f9aTJj,Independent,Neither positive nor negative,No,No,No,Yes
486,NONE,NONE,NONE,NONE,R_1FixTsdmaMCUUXH,Independent,Neither positive nor negative,No,No,No,No
487,err,NONE,NONE,NONE,R_bKqwFtS9CblpoZD,Republican,Very negative,Yes,No,No,No
488,none,NONE,NONE,NONE,R_03wR7dn64AxyQh7,Republican,Neither positive nor negative,No,No,No,No
489,progressive,NONE,NONE,NONE,R_9B8rPAlu5IyoL6B,Independent,Neither positive nor negative,No,No,No,No
490,poor,nice,good,yes,R_e4dXo16GpzhE0nP,Independent,Neither positive nor negative,No,Yes,No,No
491,open,positive impact,big picture,inclusive,R_1ZVQ5HVvZWZfVbf,Democrat,Very positive,No,Yes,No,No
492,liberal,educated,equality,fairness,R_0rE3TzzPaDGJSpT,Independent,A little positive,No,No,No,No
493,liberal,freedom,diverse,future,R_0qZ31OT18s1GTZj,Democrat,A little positive,No,No,No,Yes
494,young,color,liberal,naive,R_6KApeugmIicqoGV,Republican,A little negative,No,Yes,No,Yes
495,na,na,na,na,R_3qqOLo8zLVPUdI9,Independent,Neither positive nor negative,No,No,No,No
496,excessive,eager,tight,blind,R_896zG20L1FhvOcd,Republican,Very negative,Yes,Yes,No,No
497,left,liberals,leftist,not sure,R_1YvDl8ZCFxZvEEJ,Independent,Neither,No,No,No,No
498,NONE,NONE,NONE,NONE,R_2ghxSIvYfmvV6Kh,Independent,Neither positive nor negative,No,No,No,No
499,poor,dumb,trash,lazy,R_205ZM89W9pXrnWl,Republican,Very negative,Yes,Yes,No,No
500,NONE,NONE,NONE,NONE,R_1NX7b2FsYedRvaB,Independent,Neither positive nor negative,No,No,No,No
